,feature,divergence
1,AGEP,1.671772486772487
10,POVPIP,1.4236890439489944
9,PINCP_DECILE,0.844983130409271
8,OWN_RENT,0.6058891144418583
3,MSP,0.5415602463163781
7,NPF,0.5147324357850674
6,NOC,0.18313908604741477
5,RAC1P,0.08482064721864595
2,SEX,0.07447785426297537
0,PUMA,0.07128076601760824
4,HISP,0.05385255496211757
