,WGTP,count_target,count_deidentified
0,0,220,156
1,14,179,180
2,3,173,149
3,15,171,138
4,16,163,183
5,11,145,145
6,12,144,131
7,2,142,158
8,5,134,130
9,19,131,124
10,7,127,130
11,17,126,121
12,13,123,116
13,9,117,145
14,4,117,98
15,10,110,110
16,6,108,131
17,8,107,132
18,18,106,103
19,1,86,179
