,HISP,PUMA,PINCP_DECILE,MSP,DENSITY,OWN_RENT,DREM,SEX,NPF,HOUSING_TYPE,RAC1P,INDP_CAT,DVET,NOC,EDU,DEYE,DEAR,DPHY,AGEP
HISP,2.3203661214665772e-14,-0.09002511571806787,0.0757427600572611,-0.016372559351000123,-0.17820797493131524,-0.09846655393859151,0.012643047595085955,-0.01339192368138075,-0.04501697407445254,-0.011452682795849628,-0.18253004452540383,-0.0134802960324188,,-0.040527574310999244,0.10028824580818786,,-0.02451230160279298,0.00627530280450138,0.07172157456153967
PUMA,-0.09002511571806787,1.0880185641326534e-14,-0.09587529251592827,0.10067589363737964,0.17685978105303343,-0.1321125349584366,0.021815890415763945,-0.028811413676932858,-0.09785900243403013,0.08495699555350313,-0.04102949646484653,0.08784648813073358,,-0.07909632497193927,-0.06557392087115861,,0.011955269517028935,0.0350664487748501,0.050338957177166736
PINCP_DECILE,0.0757427600572611,-0.09587529251592827,-8.326672684688674e-15,-0.27004277054564246,-0.04060723368092122,-0.10839054818703538,-0.3293554679035363,0.16187254647641186,0.24132496575883117,0.1414854637509665,0.15115596863879927,-0.4766067305793306,,0.2642561851811501,-0.5188574368004772,,0.020806922344974436,-0.31051917478940444,-0.4030958699841045
MSP,-0.016372559351000123,0.10067589363737964,-0.27004277054564246,9.381384558082573e-14,-0.15855259014570203,-0.014967793842486147,-0.28633279145132323,-0.029910596678395587,0.5445754233341601,-0.2696297586682839,0.024558924820257587,-0.2690558926096117,,0.4214288862572596,-0.2959937441308543,,0.004354099337824931,-0.282765710041755,-0.18444782358596679
DENSITY,-0.17820797493131524,0.17685978105303343,-0.04060723368092122,-0.15855259014570203,7.061018436615996e-14,-0.12469911090755781,-0.030809835217297125,-0.04540871400301807,0.06882696612203701,-0.04118181961727284,-0.15109551659657833,-0.028582350693294165,,0.09335989052818051,-0.0711154280723565,,-0.05668061194151966,-0.028685075074605104,0.0686194257076928
OWN_RENT,-0.09846655393859151,-0.1321125349584366,-0.10839054818703538,-0.014967793842486147,-0.12469911090755781,0.0,0.016029939162012192,-0.05637848870126343,-0.13067569440755838,0.5744408420165154,-0.10283235312651219,-0.14272271543661186,,-0.2019928928790458,0.11659488443217983,,-0.031506230514523205,0.042584878839821164,0.12426810097351963
DREM,0.012643047595085955,0.021815890415763945,-0.3293554679035363,-0.28633279145132323,-0.030809835217297125,0.016029939162012192,2.1094237467877974e-15,-0.020021241577751855,0.15979889619414153,-0.008671161963451919,0.04581511874991051,-0.2686552637230775,,0.19137774764021803,-0.47542089956107936,,-0.032179471873634284,-0.9118097236949174,-0.33325704641163234
SEX,-0.01339192368138075,-0.028811413676932858,0.16187254647641186,-0.029910596678395587,-0.04540871400301807,-0.05637848870126343,-0.020021241577751855,-5.5289106626332796e-14,-0.06955211274750789,0.04436006828858335,-0.00534866139397837,-0.10475351703198038,,-0.007061430911860845,0.04005110344429063,,-0.04101388221394155,0.016616153923116377,0.03185726114977885
NPF,-0.04501697407445254,-0.09785900243403013,0.24132496575883117,0.5445754233341601,0.06882696612203701,-0.13067569440755838,0.15979889619414153,-0.06955211274750789,3.68594044175552e-14,0.33068514991577086,-0.03881868693868676,0.18662077587508902,,-0.6895675338739471,0.15324632033538227,,-0.09368545964284358,0.1270492554274085,0.07057074509194552
HOUSING_TYPE,-0.011452682795849628,0.08495699555350313,0.1414854637509665,-0.2696297586682839,-0.04118181961727284,0.5744408420165154,-0.008671161963451919,0.04436006828858335,0.33068514991577086,1.6986412276764895e-13,0.01114198035175741,0.0658021669222092,,0.3409732317306254,0.019525573260235282,,0.010729656727314928,-0.028087732343726326,0.09680576584567938
