,INDP_CAT,count_target,count_deidentified
0,-1,2694,3749.0
1,14,432,1023.0
2,10,358,744.0
3,6,340,514.0
4,12,277,361.0
5,3,221,283.0
6,11,216,180.0
7,4,214,202.0
8,9,209,66.0
9,7,181,222.0
10,15,157,211.0
11,16,117,210.0
12,13,85,116.0
13,8,53,0.0
14,18,47,2.0
15,5,44,2.0
16,0,11,15.0
17,2,8,0.0
18,17,5,0.0
19,1,1,8.0
