,feature,divergence
1,AGEP,0.2433410477593102
10,POVPIP,0.08980994221871208
9,PINCP_DECILE,0.03999206349206352
7,NPF,0.018457944696423464
0,PUMA,0.00921955478883052
3,MSP,0.006709201290617297
5,RAC1P,0.004995068878537753
6,NOC,0.0046841612215992486
2,SEX,0.002315065563602836
8,OWN_RENT,0.0021143118100620945
4,HISP,0.0016336461279455204
11,DEYE,0.0004083981437874584
