,AGEP,count_target,count_deidentified
0,4,203,0.0
1,19,189,303.0
2,17,188,3.0
3,14,182,10.0
4,18,181,18.0
5,0,176,0.0
6,12,171,4.0
7,7,164,13.0
8,5,162,2.0
9,11,161,6.0
10,2,158,0.0
11,15,156,6.0
12,8,152,3.0
13,10,152,4.0
14,9,150,1.0
15,1,145,0.0
16,13,144,6.0
17,3,136,0.0
18,6,126,1.0
19,16,126,4363.0
