,PINCP_DECILE,count_target,count_deidentified
0,-1,1120,105
1,9,869,610
2,8,782,604
3,7,733,796
4,6,678,889
5,4,593,1066
6,0,591,363
7,1,591,661
8,2,570,764
9,3,557,826
10,5,550,950
