,INDP_CAT,count_target,count_deidentified
0,-1,10929,4151
1,10,2678,2436
2,11,1818,2068
3,12,1632,1102
4,14,1572,1140
5,6,1381,1113
6,16,1113,703
7,4,964,788
8,9,957,4678
9,15,821,1094
10,3,774,1404
11,7,657,1027
12,13,423,885
13,8,414,639
14,0,392,629
15,5,225,806
16,1,157,1557
17,18,152,113
18,17,101,213
19,2,93,707
