,PINCP_DECILE,count_target,count_deidentified
0,-1,1120,126
1,9,869,648
2,8,782,689
3,7,733,945
4,6,678,958
5,4,593,789
6,0,591,496
7,1,591,650
8,2,570,704
9,3,557,827
10,5,550,802
