,INDP,count_target,count_deidentified
13,7270,36,4.0
3,7280,10,0.0
2,7290,22,7.0
10,7370,10,5.0
6,7380,124,5.0
7,7390,31,6.0
14,7460,19,2.0
12,7470,7,2.0
15,7480,3,3.0
11,7490,15,5.0
18,7570,2,4.0
0,7580,33,3.0
1,7590,7,6.0
16,7670,3,7.0
4,7680,24,9.0
9,7690,40,6.0
8,7770,10,7.0
5,7780,8,8.0
17,7790,7,6.0
