,POVPIP,count_target,count_deidentified
0,501,1337,1329
1,-1,397,511
2,1,198,200
3,6,186,126
4,0,184,301
5,2,180,207
6,4,167,117
7,5,161,147
8,12,156,157
9,3,152,108
10,10,144,155
11,11,141,125
12,7,137,116
13,13,134,151
14,8,130,148
15,9,129,103
16,19,125,149
17,15,123,124
18,16,123,96
19,14,110,154
20,17,110,127
21,18,110,135
