,feature,divergence
8,PINCP_DECILE,5.083774457250066
7,EDU,1.6773168810711476
6,INDP_CAT,0.8464935064935065
2,MSP,0.5587946411606337
0,PUMA,0.12201385905601525
5,OWN_RENT,0.08727510271522719
4,RAC1P,0.06388424898816598
3,HISP,0.05240144856871288
1,SEX,0.030970815067299817
