,Sub-Sample Size,Sub-Sample K-Marginal Score,Deidentified Data K-marginal score,Absolute Diff. From Deidentified Data K-marginal Score
0,10%,966,659,307
1,20%,978,659,319
2,30%,983,659,324
3,40%,986,659,327
4,50%,988,659,329
5,60%,991,659,332
6,70%,993,659,334
7,80%,994,659,335
8,90%,996,659,337
9,100%,1000,659,341
