,POVPIP,count_target,count_deidentified
0,16,3401,5806
1,3,467,265
2,7,460,238
3,10,460,90
4,8,459,98
5,2,457,157
6,0,454,1213
7,11,451,51
8,1,450,184
9,4,448,172
10,5,447,359
11,9,447,87
12,6,445,264
13,12,231,14
14,-1,199,278
