,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET
AGEP,3.3306690738754696e-16,-0.04884512996534499,-0.011020969906630818,0.05938138138947331,0.06153301732127324,0.0446774251324553,-0.025534242780872796,-0.014202519575789219,-0.07577219612133858
SEX,-0.04884512996534499,-3.219646771412954e-15,0.02739549374958141,-0.0014052774082772886,0.04274570278198577,-0.035631567509530504,-0.07349517490290892,0.0017623820284088931,0.09580419533340175
MSP,-0.011020969906630818,0.02739549374958141,-2.220446049250313e-15,-0.043801174149964775,-0.012923524972909994,0.0007774341513246512,0.0537506301564486,0.05492659049103779,0.0017493661423908652
RAC1P,0.05938138138947331,-0.0014052774082772886,-0.043801174149964775,-2.3314683517128287e-15,0.015610875272497892,-0.0985634812518745,-0.0014388461694603977,0.04293801349360264,0.026767779549581195
HOUSING_TYPE,0.06153301732127324,0.04274570278198577,-0.012923524972909994,0.015610875272497892,4.551914400963142e-15,0.0009546129815700688,0.04905515155128135,0.15787790098639096,0.01789729886004792
OWN_RENT,0.0446774251324553,-0.035631567509530504,0.0007774341513246512,-0.0985634812518745,0.0009546129815700688,3.774758283725532e-15,0.008172775084057476,-0.03854962936327097,0.0017736564752373436
EDU,-0.025534242780872796,-0.07349517490290892,0.0537506301564486,-0.0014388461694603977,0.04905515155128135,0.008172775084057476,1.2212453270876722e-15,-0.00512940972998166,-0.04255706497674196
PINCP_DECILE,-0.014202519575789219,0.0017623820284088931,0.05492659049103779,0.04293801349360264,0.15787790098639096,-0.03854962936327097,-0.00512940972998166,0.0,-0.07730961801986427
DVET,-0.07577219612133858,0.09580419533340175,0.0017493661423908652,0.026767779549581195,0.01789729886004792,0.0017736564752373436,-0.04255706497674196,-0.07730961801986427,-1.5543122344752192e-15
