,PUMA,SEX,MSP,HISP,RAC1P,OWN_RENT,INDP_CAT,EDU,PINCP_DECILE
PUMA,0.0,0.020791675281460902,0.008701719599586476,-0.021626154090941214,-0.011596452044277221,-0.01637521345576745,0.0012908387884419661,-0.017707551683275993,-0.01015157743678996
SEX,0.020791675281460902,5.10702591327572e-15,-0.041642469969811004,0.01666415750576035,0.03431351594439335,0.009323565121720008,0.02903073126989942,-0.01679484957195301,0.008067135806271303
MSP,0.008701719599586476,-0.041642469969811004,2.3314683517128287e-15,0.002674716903415849,-0.014311916191927905,-0.006992507519028274,-0.024358829644616692,0.0015992932059799292,-0.017857131211771557
HISP,-0.021626154090941214,0.01666415750576035,0.002674716903415849,0.0,0.05907057711492955,-0.044954224259512884,-0.019973111944690404,0.00772869296443493,0.0014635864589344488
RAC1P,-0.011596452044277221,0.03431351594439335,-0.014311916191927905,0.05907057711492955,0.0,-0.023492067089966436,0.017782826709102653,-0.008638538391935515,-0.0275585720797539
OWN_RENT,-0.01637521345576745,0.009323565121720008,-0.006992507519028274,-0.044954224259512884,-0.023492067089966436,0.0,-0.00042833082992568827,0.0008501886068913514,0.015182262252824263
INDP_CAT,0.0012908387884419661,0.02903073126989942,-0.024358829644616692,-0.019973111944690404,0.017782826709102653,-0.00042833082992568827,0.0,0.0041539241548838035,0.012676088712593014
EDU,-0.017707551683275993,-0.01679484957195301,0.0015992932059799292,0.00772869296443493,-0.008638538391935515,0.0008501886068913514,0.0041539241548838035,-2.3314683517128287e-15,-0.01714089337014091
PINCP_DECILE,-0.01015157743678996,0.008067135806271303,-0.017857131211771557,0.0014635864589344488,-0.0275585720797539,0.015182262252824263,0.012676088712593014,-0.01714089337014091,0.0
