,Sub-Sample Size,Sub-Sample K-Marginal Score,Deidentified Data K-marginal score,Absolute Diff. From Deidentified Data K-marginal Score
0,10%,848,496,352
1,20%,898,496,402
2,30%,922,496,426
3,40%,938,496,442
4,50%,949,496,453
5,60%,957,496,461
6,70%,966,496,470
7,80%,974,496,478
8,90%,983,496,487
9,100%,1000,496,504
