,PUMA,count_target,count_deidentified
0,8,2496,2548
1,16,2298,2278
2,12,1978,2023
3,5,1574,1540
4,19,1570,1539
5,2,1547,1546
6,7,1374,1375
7,13,1365,1381
8,3,1326,1327
9,18,1269,1335
10,17,1250,1242
11,4,1231,1240
12,10,1185,1214
13,15,1154,1103
14,1,1051,1050
15,9,1028,1001
16,11,1002,1005
17,14,963,956
18,6,855,808
19,0,737,742
