,POVPIP,count_target,count_deidentified
0,16,9972,9951
1,-1,1513,1664
2,8,1318,1323
3,3,1311,1235
4,10,1297,1267
5,4,1296,1293
6,6,1292,1351
7,1,1286,1307
8,11,1284,1175
9,2,1283,1271
10,7,1276,1364
11,0,1271,1257
12,5,1264,1268
13,9,1257,1189
14,12,333,338
